,Date,Open,High,Low,Close,Adj.Close,Volume
14,1/4/2010,47.23,47.630001,46.970001,47.110001,37.767548,1456800
15,1/5/2010,46.98,47.240002,46.630001,46.82,37.535061,1565600
16,1/6/2010,47.330002,48.009998,47.220001,47.91,38.408894,1753300
17,1/7/2010,48.639999,49.34,48.540001,49.169998,39.419025,3681800
18,1/8/2010,49.009998,49.75,48.959999,49.540001,39.715649,1794900
19,1/11/2010,50.400002,50.75,50.080002,50.639999,40.5975,2293400
20,1/12/2010,49.580002,49.939999,49.360001,49.549999,39.723671,1596500
21,1/13/2010,50.599998,50.650002,50.099998,50.389999,40.397083,1973800
22,1/14/2010,51.240002,51.25,49.790001,50.16,40.2127,8310000
23,1/15/2010,49.669998,49.689999,48.73,48.950001,39.242649,2778900
24,1/19/2010,48.580002,49.259998,48.580002,49.23,39.467125,1505400
25,1/20/2010,48.57,48.630001,47.630001,48.27,38.69751,2978000
26,1/21/2010,47.919998,48.02,46.41,46.57,37.334633,4818800
27,1/22/2010,46.59,46.900002,45.860001,45.900002,36.797504,2607100
28,1/25/2010,46.75,46.830002,46.080002,46.209999,37.046024,2458000
29,1/26/2010,45.73,46.52,45.639999,46.049999,36.917755,3033400
30,1/27/2010,45.990002,46.25,45.529999,46.209999,37.046024,2968100
31,1/28/2010,46,46.02,44.860001,45.139999,36.188221,1757900
32,1/29/2010,45.810001,46.490002,45.150002,45.32,36.33252,2484000
33,2/1/2010,46.650002,46.900002,46.18,46.48,37.262474,2665000
34,2/2/2010,47.220001,47.369999,46.869999,47.360001,37.967972,2052700
35,2/3/2010,47.290001,47.630001,47.119999,47.459999,38.048138,1824800
36,2/4/2010,46.990002,47.07,46.220001,46.25,37.078098,2574100
37,2/5/2010,45.82,46.049999,44.970001,45.959999,36.845604,1893200
38,2/8/2010,44.639999,44.849998,43.110001,43.290001,34.705097,10072200
39,2/9/2010,43.669998,44.09,43.27,43.900002,35.194126,7411400
40,2/10/2010,43.830002,43.939999,43.23,43.32,34.729145,3780600
41,2/11/2010,42.529999,42.939999,42,42.810001,34.320286,4881000
42,2/12/2010,42.25,43.049999,42.099998,42.990002,34.464588,3746800
47,2/22/2010,44.509998,44.540001,43.959999,44,35.274288,1762500
48,2/23/2010,43.919998,44.07,43.41,43.720001,35.049828,1688000
49,2/24/2010,44.349998,44.700001,44.080002,44.330002,35.538857,1667000
50,2/25/2010,43.549999,44.279999,43.41,44.209999,35.44265,2090400
51,2/26/2010,44.209999,44.790001,43.860001,44.580002,35.739273,1177000
52,3/1/2010,44.950001,45.27,44.77,45.27,36.292439,1546900
53,3/2/2010,45.77,46,45.450001,45.77,36.693283,2474100
54,3/3/2010,45.990002,46.18,45.610001,45.720001,36.653194,1832600
55,3/4/2010,46.029999,46.150002,45.59,46.060001,36.925777,1422100
56,3/5/2010,46.080002,46.419998,45.91,46.130001,36.981899,2530300
57,3/8/2010,46.52,46.529999,46.150002,46.25,37.078098,1198200
58,3/9/2010,45.900002,46.200001,45.77,45.919998,36.813538,2630100
59,3/10/2010,46.029999,46.549999,46.02,46.48,37.262474,1591400
60,3/11/2010,45.990002,46.130001,45.610001,45.950001,36.837589,2349500
61,3/12/2010,46.130001,46.25,45.84,46.049999,36.917755,1113200
62,3/15/2010,45.98,46.119999,45.5,45.970001,36.853619,1609800
63,3/16/2010,45.799999,46.52,45.599998,46.41,37.206356,2337500
64,3/17/2010,46.990002,47.799999,46.68,47.389999,37.992016,3270200
65,3/18/2010,47.450001,47.650002,46.91,47.369999,37.97599,1266500
66,3/19/2010,46.939999,47.02,46.189999,46.939999,37.631256,2710000
67,3/22/2010,46.470001,47.310001,46.459999,46.98,37.66333,2728200
68,3/23/2010,47.419998,48.07,47.299999,47.970001,38.457001,2375200
69,3/24/2010,46.75,47.349998,46.650002,46.970001,37.655315,2908500
70,3/25/2010,47.700001,47.84,46.970001,46.990002,37.671349,3076100
71,3/26/2010,47.290001,47.560001,46.740002,47.080002,37.743496,2217400
72,3/29/2010,47.669998,48.16,47.66,48,38.481049,1879000
