,Date,Open,High,Low,Close,Adj.Close,Volume
245,1/4/2010,4.230646,4.31663,4.194625,4.238779,4.067605,16514214
246,1/5/2010,4.242265,4.427015,4.241103,4.332897,4.157924,31392364
247,1/6/2010,4.334059,4.403776,4.277124,4.323602,4.149004,21283359
248,1/7/2010,4.296877,4.31663,4.116775,4.163253,3.995129,21593847
249,1/8/2010,4.138852,4.31082,4.117937,4.299201,4.125588,19993704
250,1/11/2010,4.31663,4.508351,4.31663,4.473493,4.292842,39570091
251,1/12/2010,4.467683,4.51997,4.416557,4.460711,4.280575,21443633
252,1/13/2010,4.301525,4.804647,4.301525,4.665214,4.47682,78210759
253,1/14/2010,4.671023,4.763979,4.596659,4.690777,4.50135,42934601
254,1/15/2010,4.718663,4.734931,4.580392,4.610602,4.424413,24587195
256,1/19/2010,4.688453,4.856935,4.53159,4.8,4.606163,35088085
257,1/20/2010,4.822076,4.879012,4.473493,4.554829,4.370893,48196204
258,1/21/2010,4.533914,4.610602,4.415395,4.492084,4.310682,18553457
259,1/22/2010,4.473493,4.53159,4.40029,4.415395,4.23709,18997530
260,1/25/2010,4.403776,4.466521,4.287581,4.296877,4.123357,12676197
261,1/26/2010,4.302687,4.357298,4.124909,4.186492,4.017431,14066089
262,1/27/2010,4.188816,4.285257,4.134204,4.196949,4.027465,9447235
263,1/28/2010,4.18533,4.299201,4.160929,4.239941,4.06872,7413802
264,1/29/2010,4.236456,4.317792,4.206245,4.287581,4.114437,10708171
265,2/1/2010,4.264342,4.287581,4.10167,4.159767,3.991784,10827523
266,2/2/2010,4.183006,4.217864,4.122585,4.170225,4.00182,7807323
267,2/3/2010,4.183006,4.215541,4.078431,4.192302,4.023005,7542026
268,2/4/2010,4.19114,4.251561,4.146986,4.223674,4.053111,10020626
269,2/5/2010,4.159767,4.183006,3.872766,3.938997,3.77993,23448735
270,2/8/2010,3.936673,3.936673,3.816993,3.832098,3.677347,13262498
271,2/9/2010,3.832098,3.904139,3.777487,3.872766,3.716373,5296596
272,2/10/2010,3.927378,3.936673,3.868119,3.933188,3.774355,4396390
273,2/11/2010,3.936673,3.944807,3.899491,3.911111,3.75317,3438412
274,2/12/2010,3.943645,3.943645,3.890196,3.936673,3.777699,3924062
275,2/22/2010,3.938997,4.066811,3.896005,3.97618,3.815612,5241378
276,2/23/2010,3.962236,4.066811,3.962236,4.047058,3.883627,4658158
277,2/24/2010,4.038925,4.09586,4.008714,4.093536,3.928227,7108934
278,2/25/2010,4.122585,4.264342,4.043572,4.252723,4.080987,12852642
279,2/26/2010,4.208569,4.250399,4.136528,4.187654,4.018546,9646289
280,3/1/2010,4.17952,4.229484,4.150472,4.18533,4.016314,7461747
281,3/2/2010,4.171387,4.17371,4.084241,4.124909,3.958334,12090714
282,3/3/2010,4.113289,4.281771,4.113289,4.19114,4.021892,11767807
283,3/4/2010,4.229484,4.230646,3.950617,3.973856,3.813381,14344458
284,3/5/2010,3.952941,4.019172,3.906463,3.973856,3.813381,13606137
285,3/8/2010,3.973856,4.031953,3.950617,4.007552,3.845716,4804809
286,3/9/2010,4.020334,4.020334,3.951779,3.995933,3.834567,6233059
287,3/10/2010,3.994771,4.026143,3.932026,3.943645,3.78439,7169298
288,3/11/2010,3.948293,3.988961,3.935511,3.977342,3.816726,3942764
289,3/12/2010,3.978503,4.097022,3.978503,4.020334,3.857982,13104203
290,3/15/2010,4.020334,4.09005,3.951779,4.085403,3.920423,12900011
291,3/16/2010,4.093536,4.177196,4.076107,4.152795,3.985094,17591940
292,3/17/2010,4.180682,4.255047,4.103994,4.229484,4.058686,26006323
293,3/18/2010,4.286419,4.298039,4.192302,4.265504,4.093251,19444376
294,3/19/2010,4.275962,4.296877,4.223674,4.252723,4.080987,15157964
295,3/22/2010,4.223674,4.308496,4.166739,4.275962,4.103287,29769018
296,3/23/2010,4.241103,4.5374,4.241103,4.427015,4.24824,65324836
297,3/24/2010,4.450254,4.528104,4.415395,4.511837,4.329637,39621135
298,3/25/2010,4.486274,4.582716,4.422367,4.496732,4.315143,32299445
299,3/26/2010,4.490922,4.625708,4.450254,4.514161,4.331867,17850670
300,3/29/2010,4.496732,4.624546,4.454901,4.589687,4.404343,37997127
301,3/30/2010,4.566448,4.703558,4.53159,4.675671,4.486856,45094228
302,3/31/2010,4.647785,4.881336,4.630355,4.757007,4.564907,48803014
303,4/1/2010,4.757007,4.982425,4.736092,4.901089,4.703169,38312658
305,4/6/2010,4.739578,4.793028,4.562962,4.647785,4.460095,44568894
306,4/7/2010,4.647785,4.931299,4.575744,4.852287,4.656339,42249819
307,4/8/2010,4.823238,5.333333,4.8,5.110239,4.903873,68442468
308,4/9/2010,5.099782,5.346114,5.089324,5.286855,5.073358,57182859
310,4/13/2010,5.346114,5.538997,5.112563,5.358896,5.142488,53124737
311,4/14/2010,5.362381,5.400726,5.241539,5.39143,5.173708,17939315
312,4/15/2010,5.379811,5.60058,5.211328,5.396078,5.178169,24793453
313,4/16/2010,5.286855,5.448366,5.228758,5.347276,5.13134,25703193
314,4/19/2010,5.310094,5.310094,5.171822,5.228758,5.017606,16535515
315,4/20/2010,5.228758,5.69586,5.121859,5.577342,5.352114,40277792
316,4/21/2010,5.57618,5.851561,5.461147,5.751633,5.519367,42358353
